Iteration,Current job deadline,Added intervals,Added length,Job considered
1,6.0,"[5.0, 6.0)",1.0,F
2,6.0,none,0,A
3,9.0,"[4.0, 5.0); [6.0, 9.0)",4.0,D
4,9.0,none,0,B
5,9.0,none,0,N
6,10.0,none,0,C
7,10.0,none,0,E
8,11.0,none,0,H
9,11.0,none,0,M
10,11.0,none,0,O
11,12.0,none,0,L
12,12.0,"[11.0, 12.0)",1.0,R
13,13.0,none,0,V
14,14.0,none,0,G
15,14.0,none,0,J
16,14.0,none,0,K
17,15.0,none,0,I
18,15.0,none,0,Y
19,16.0,none,0,Q
20,16.0,"[14.0, 16.0)",2.0,P
21,16.0,"[13.0, 14.0)",1.0,U
22,16.0,none,0,AA
23,18.0,none,0,X
24,18.0,none,0,AC
25,18.0,none,0,AE
26,18.0,none,0,AK
27,20.0,none,0,S
28,20.0,none,0,W
29,20.0,none,0,AB
30,20.0,none,0,AD
31,20.0,"[19.0, 20.0)",1.0,AF
32,20.0,none,0,AJ
33,20.0,none,0,AO
34,20.0,none,0,AU
35,21.0,none,0,Z
36,21.0,"[20.0, 21.0)",1.0,AG
37,21.0,none,0,AL
38,22.0,none,0,T
39,22.0,none,0,AI
40,23.0,none,0,AS
41,23.0,"[21.0, 23.0)",2.0,AN
42,24.0,none,0,AM
43,25.0,none,0,AH
44,25.0,none,0,AR
45,26.0,"[25.0, 26.0)",1.0,AQ
46,26.0,none,0,AT
47,26.0,none,0,AX
48,26.0,none,0,BA
49,26.0,none,0,BC
50,27.0,none,0,AP
51,27.0,none,0,BD
52,27.0,"[26.0, 27.0)",1.0,BG
53,27.0,none,0,BJ
54,28.0,none,0,AV
55,28.0,none,0,BE
56,28.0,none,0,BO
57,29.0,none,0,AW
58,29.0,none,0,AY
59,29.0,"[27.0, 29.0)",2.0,BM
60,30.0,"[29.0, 30.0)",1.0,BP
61,31.0,none,0,BB
62,31.0,none,0,BF
63,31.0,none,0,BL
64,31.0,none,0,CA
65,31.0,none,0,CD
66,32.0,none,0,AZ
67,33.0,none,0,BH
68,33.0,none,0,BN
69,33.0,none,0,BS
70,33.0,none,0,BT
71,34.0,none,0,BK
72,34.0,none,0,BI
73,34.0,"[33.0, 34.0)",1.0,BV
74,34.0,"[32.0, 33.0)",1.0,BZ
75,34.0,none,0,CE
76,35.0,none,0,BQ
77,35.0,none,0,CB
78,36.0,none,0,BW
79,36.0,none,0,BY
80,37.0,none,0,BR
81,37.0,none,0,CF
82,37.0,none,0,CC
83,37.0,none,0,CG
84,37.0,"[36.0, 37.0)",1.0,CQ
85,38.0,none,0,BX
86,38.0,none,0,CI
87,38.0,"[37.0, 38.0)",1.0,CL
88,38.0,none,0,CS
89,39.0,none,0,BU
90,39.0,none,0,CH
91,39.0,none,0,CM
92,40.0,none,0,CN
93,40.0,"[39.0, 40.0)",1.0,CU
94,41.0,none,0,CJ
95,41.0,none,0,CK
96,42.0,none,0,CP
97,42.0,"[41.0, 42.0)",1.0,CV
98,43.0,none,0,CT
99,44.0,none,0,CO
100,44.0,none,0,CR
