Job,Start,End,Length
A,5.0,6.0,1.0
AA,14.0,16.0,2.0
AB,15.0,16.0,1.0
AB,19.0,20.0,1.0
AC,15.0,16.0,1.0
AD,15.0,16.0,1.0
AD,19.0,20.0,1.0
AE,14.0,16.0,2.0
AF,13.0,16.0,3.0
AF,19.0,20.0,1.0
AG,13.0,16.0,3.0
AG,19.0,21.0,2.0
AH,20.0,23.0,3.0
AI,20.0,22.0,2.0
AJ,14.0,16.0,2.0
AJ,19.0,20.0,1.0
AK,15.0,16.0,1.0
AL,15.0,16.0,1.0
AL,19.0,21.0,2.0
AM,19.0,23.0,4.0
AN,19.0,23.0,4.0
AO,15.0,16.0,1.0
AO,19.0,20.0,1.0
AP,20.0,23.0,3.0
AP,25.0,27.0,2.0
AQ,19.0,23.0,4.0
AQ,25.0,26.0,1.0
AR,19.0,23.0,4.0
AS,21.0,23.0,2.0
AT,25.0,26.0,1.0
AU,19.0,20.0,1.0
AV,26.0,28.0,2.0
AW,25.0,29.0,4.0
AX,20.0,23.0,3.0
AX,25.0,26.0,1.0
AY,25.0,29.0,4.0
AZ,25.0,30.0,5.0
B,6.0,9.0,3.0
BA,25.0,26.0,1.0
BB,27.0,30.0,3.0
BC,21.0,23.0,2.0
BC,25.0,26.0,1.0
BD,21.0,23.0,2.0
BD,25.0,27.0,2.0
BE,27.0,28.0,1.0
BF,27.0,30.0,3.0
BG,20.0,23.0,3.0
BG,25.0,27.0,2.0
BH,28.0,30.0,2.0
BH,32.0,33.0,1.0
BI,27.0,30.0,3.0
BI,32.0,34.0,2.0
BJ,25.0,27.0,2.0
BK,27.0,30.0,3.0
BK,32.0,34.0,2.0
BL,29.0,30.0,1.0
BM,25.0,29.0,4.0
BN,28.0,30.0,2.0
BN,32.0,33.0,1.0
BO,26.0,28.0,2.0
BP,25.0,30.0,5.0
BQ,28.0,30.0,2.0
BQ,32.0,34.0,2.0
BR,28.0,30.0,2.0
BR,32.0,34.0,2.0
BR,36.0,37.0,1.0
BS,29.0,30.0,1.0
BS,32.0,33.0,1.0
BT,26.0,30.0,4.0
BT,32.0,33.0,1.0
BU,29.0,30.0,1.0
BU,32.0,34.0,2.0
BU,36.0,38.0,2.0
BV,28.0,30.0,2.0
BV,32.0,34.0,2.0
BW,32.0,34.0,2.0
BX,32.0,34.0,2.0
BX,36.0,38.0,2.0
BY,29.0,30.0,1.0
BY,32.0,34.0,2.0
BZ,28.0,30.0,2.0
BZ,32.0,34.0,2.0
C,7.0,9.0,2.0
CA,28.0,30.0,2.0
CB,33.0,34.0,1.0
CC,33.0,34.0,1.0
CC,36.0,37.0,1.0
CD,29.0,30.0,1.0
CE,33.0,34.0,1.0
CF,36.0,37.0,1.0
CG,36.0,37.0,1.0
CH,33.0,34.0,1.0
CH,36.0,38.0,2.0
CI,36.0,38.0,2.0
CJ,32.0,34.0,2.0
CJ,36.0,38.0,2.0
CJ,39.0,40.0,1.0
CK,37.0,38.0,1.0
CK,39.0,40.0,1.0
CL,32.0,34.0,2.0
CL,36.0,38.0,2.0
CM,37.0,38.0,1.0
CN,36.0,38.0,2.0
CN,39.0,40.0,1.0
CO,36.0,38.0,2.0
CO,39.0,40.0,1.0
CO,41.0,42.0,1.0
CP,41.0,42.0,1.0
CQ,36.0,37.0,1.0
CR,37.0,38.0,1.0
CR,39.0,40.0,1.0
CR,41.0,42.0,1.0
CS,36.0,38.0,2.0
CT,33.0,34.0,1.0
CT,36.0,38.0,2.0
CT,39.0,40.0,1.0
CT,41.0,42.0,1.0
CU,33.0,34.0,1.0
CU,36.0,38.0,2.0
CU,39.0,40.0,1.0
CV,36.0,38.0,2.0
CV,39.0,40.0,1.0
CV,41.0,42.0,1.0
D,4.0,9.0,5.0
E,5.0,9.0,4.0
F,5.0,6.0,1.0
G,6.0,9.0,3.0
G,11.0,12.0,1.0
G,13.0,14.0,1.0
H,4.0,9.0,5.0
I,7.0,9.0,2.0
I,11.0,12.0,1.0
I,13.0,15.0,2.0
J,7.0,9.0,2.0
J,11.0,12.0,1.0
J,13.0,14.0,1.0
K,13.0,14.0,1.0
L,6.0,9.0,3.0
L,11.0,12.0,1.0
M,7.0,9.0,2.0
N,8.0,9.0,1.0
O,8.0,9.0,1.0
P,8.0,9.0,1.0
P,11.0,12.0,1.0
P,13.0,16.0,3.0
Q,11.0,12.0,1.0
Q,13.0,16.0,3.0
R,6.0,9.0,3.0
R,11.0,12.0,1.0
S,14.0,16.0,2.0
S,19.0,20.0,1.0
T,14.0,16.0,2.0
T,19.0,22.0,3.0
U,8.0,9.0,1.0
U,11.0,12.0,1.0
U,13.0,16.0,3.0
V,11.0,12.0,1.0
W,15.0,16.0,1.0
W,19.0,20.0,1.0
X,15.0,16.0,1.0
Y,14.0,15.0,1.0
Z,14.0,16.0,2.0
Z,19.0,21.0,2.0
